,Feature,Importance
634,category_last_Corredoras Telescópicas,0.0
635,category_last_Cortacerco,0.0
636,category_last_Cortadoras,0.0
637,category_last_Cortadoras de Cerámica,0.0
638,category_last_Cortadoras de Concreto,0.0
639,category_last_Cortadoras de Pelo,0.003390517
640,category_last_Cortadoras de Plasma,0.0
641,category_last_Cortadoras de Vidrios,0.0
642,category_last_Cortadoras y Trituradoras,0.0
643,category_last_Cortantes,0.0
644,category_last_Cortaplumas,0.0
645,category_last_Cortinas Frigoríficas,0.0
646,category_last_Cortinas de Baño,0.0005500866
647,category_last_Cortinas de Cabello,0.0
648,category_last_Cortinas y Persianas,0.0
649,category_last_Crayones,0.0
650,category_last_Crema para Peinar,0.0
651,category_last_Cremas,0.0
652,category_last_Cremas Depilatorias,0.0
653,category_last_Cremas de Avellanas,0.0
654,category_last_Cremas para Manos y Pies,0.0
655,category_last_Criollas,0.0
656,category_last_Cromados,0.0
657,category_last_Cronómetros ,0.0
658,category_last_Cuadernos,0.0
659,category_last_Cuadros,0.0
660,category_last_Cubeteras,0.0
661,category_last_Cubiertas de Bicicleta,0.0
662,category_last_Cubiertas para Motos,0.0
663,category_last_Cubiertos,0.0
664,category_last_Cubos de Hielo Reutilizables,0.0
665,category_last_Cubos y Repisas,0.0
666,category_last_Cubre Alfombras,0.0
667,category_last_Cubre Calipers,0.0
668,category_last_Cubre Manijas,0.0
669,category_last_Cubre Sommier,0.0
670,category_last_Cubre Volantes,0.0
671,category_last_Cubrepiletas,0.0
672,category_last_Cucharas Medidoras,0.0
673,category_last_Cucharas para Servir Helado,0.0
674,category_last_Cuchas,0.0
675,category_last_Cuchillas para Peladoras,0.0
676,category_last_Cuchillería,0.0
677,category_last_Cuellos,0.0
678,category_last_Cuidado Corporal,0.0
679,category_last_Cuidado Facial,0.0020937102
680,category_last_Cutters,0.0
681,category_last_Cutters y Trinchetas,0.0
682,category_last_Cámaras,0.0
683,category_last_Cámaras Analógicas,0.0
684,category_last_Cámaras Digitales,0.0
685,category_last_Cámaras Externas,0.0
686,category_last_Cámaras de Bicicleta,0.0
687,category_last_Cámaras de Retroceso,0.0
688,category_last_Cápsulas,0.0
689,category_last_Cápsulas y Broches para Uñas,0.0
690,category_last_Césped Sintético,0.0
691,category_last_Cómodas y Chifoniers,0.0
692,category_last_DVDs Portátiles con Pantalla,0.0
693,category_last_Dardos,0.0
694,category_last_De Banco,0.0
695,category_last_De Mano,0.0009392158
696,category_last_De Mesa y Escritorio,0.0
697,category_last_De Pared,0.0
698,category_last_De Remolque,0.0
699,category_last_De Seguridad,0.0
700,category_last_De Tejer,0.0
701,category_last_De Torsión,0.0
702,category_last_Delantales de Cocina,0.0
703,category_last_Delineadores de Ojos,0.0
704,category_last_Delineadores para Cejas,0.0
705,category_last_Depiladoras Convencionales,0.0
706,category_last_Depiladoras Definitivas,0.0
707,category_last_Descartables,0.003480321
708,category_last_Deshumidificadores,0.0
709,category_last_Desmaquillantes,0.0
710,category_last_Desodorantes,0.010801092
711,category_last_Desodorantes para Piso,0.0
712,category_last_Despolvillador de Yerba,0.0
713,category_last_Destapa Cañerías Químicos,0.0
714,category_last_Destapadores,0.0
715,category_last_Destornilladores,0.0
716,category_last_Detectores de Metales,0.0
717,category_last_Detergentes,0.0
718,category_last_Difusores Aromáticos,0.0012038369
719,category_last_Difusores y Softboxes,0.0
720,category_last_Digitales,0.0
721,category_last_Dijes,0.0
722,category_last_Dijes y Medallas,0.0
723,category_last_Discos Rígidos,0.0
724,category_last_Discos Rígidos y SSDs,0.0
725,category_last_Discos de Balance,0.0
726,category_last_Discos de Corte,0.0
727,category_last_Disfraces,0.0
728,category_last_Disipadores,0.0
729,category_last_Dispensers de Agua,0.0
730,category_last_Dispensers de Bebidas,0.0
731,category_last_Dispensers de Cereales,0.0
732,category_last_Dispensers de Jabón,0.0
733,category_last_Distribuidores,0.0
734,category_last_Divisores de Frecuencia,0.0
735,category_last_Domos para Cámaras de Acción,0.0
736,category_last_Donuts Maker,0.0
737,category_last_Dosificadores de Detergentes,0.0
