Feature,weight,gain,cover,total_gain,total_cover
category_last_Bombachas,1.0,3.287353515625,3082.560791015625,3.287353515625,3082.560791015625
category_last_Bombas,0.0,0.0,0.0,0.0,0.0
category_last_Bombas Centrífugas,0.0,0.0,0.0,0.0,0.0
category_last_Bombas Presurizadoras,0.0,0.0,0.0,0.0,0.0
category_last_Bombas Sumergibles,0.0,0.0,0.0,0.0,0.0
category_last_Bombas para Bidones,0.0,0.0,0.0,0.0,0.0
category_last_Bombas para Piletas,0.0,0.0,0.0,0.0,0.0
category_last_Bombillas para Mate,0.0,0.0,0.0,0.0,0.0
category_last_Bongos,0.0,0.0,0.0,0.0,0.0
category_last_Bonés,0.0,0.0,0.0,0.0,0.0
category_last_Boquillas,0.0,0.0,0.0,0.0,0.0
category_last_Borceguies,0.0,0.0,0.0,0.0,0.0
category_last_Boroscopios,0.0,0.0,0.0,0.0,0.0
category_last_Botadores,0.0,0.0,0.0,0.0,0.0
category_last_Botas,0.0,0.0,0.0,0.0,0.0
category_last_Botas y Botinetas,8.0,9.687621116638184,1148.7320556640625,77.50096893310547,9189.8564453125
category_last_Botellas Deportivas,0.0,0.0,0.0,0.0,0.0
category_last_Botes,0.0,0.0,0.0,0.0,0.0
category_last_Botines,0.0,0.0,0.0,0.0,0.0
category_last_Botines de Hockey,0.0,0.0,0.0,0.0,0.0
category_last_Botines y Zapatos,0.0,0.0,0.0,0.0,0.0
category_last_Botiquines,0.0,0.0,0.0,0.0,0.0
category_last_Boxers y Slips,1.0,3.8203125,2762.291748046875,3.8203125,2762.291748046875
category_last_Boyas,0.0,0.0,0.0,0.0,0.0
category_last_Bozales,0.0,0.0,0.0,0.0,0.0
category_last_Brackets,0.0,0.0,0.0,0.0,0.0
category_last_Brandy,0.0,0.0,0.0,0.0,0.0
category_last_Brochas para Maquillaje,0.0,0.0,0.0,0.0,0.0
category_last_Bronceadores,0.0,0.0,0.0,0.0,0.0
category_last_Brújulas,0.0,0.0,0.0,0.0,0.0
category_last_Bucleras,0.0,0.0,0.0,0.0,0.0
category_last_Bufandas,0.0,0.0,0.0,0.0,0.0
category_last_Bulones,0.0,0.0,0.0,0.0,0.0
category_last_Bulones de Rueda,0.0,0.0,0.0,0.0,0.0
category_last_Burbujas,0.0,0.0,0.0,0.0,0.0
